358204,358206,4.1,a,--
358207,358208,4.1,b,--
358209,358210,4.1,c,--
358211,358214,4.1,d,--
358215,358219,4.1,e,--
358220,358224,4.1,f,--
358225,358229,4.2,a,--
358230,358234,4.2,b,--
358235,358237,4.2,c,--
358238,358241,4.2,d,--
358242,358246,4.3,a,--
358247,358249,4.3,b,--
358250,358254,4.3,c,--
358255,358258,4.3,d,--
358259,358262,4.4,a,--
358263,358265,4.4,b,--
358266,358270,4.4,c,--
358271,358274,4.4,d,--
358275,358279,4.5,a,--
358280,358281,4.5,b,--
358282,358286,4.5,c,--
358287,358291,4.6,a,--
358292,358295,4.6,b,--
358296,358301,4.6,c,--
358302,358306,4.6,d,--
358307,358309,4.7,a,--
358310,358313,4.7,b,--
358314,358317,4.8,a,--
358318,358321,4.8,b,--
358322,358325,4.8,c,--
358326,358330,4.8,d,--
358331,358333,4.8,e,--
358334,358336,4.8,f,--
358337,358339,4.9,a,--
358340,358344,4.9,b,--
358345,358349,4.9,c,--
358350,358354,4.10,a,--
358355,358359,4.10,b,--
358360,358365,4.10,c,--
358366,358369,4.11,a,--
358370,358374,4.11,b,--
358375,358380,4.11,c,--
358381,358384,4.12,a,--
358385,358386,4.12,b,--
358387,358388,4.12,c,--
358389,358391,4.13,a,--
358392,358394,4.13,b,--
358395,358397,4.13,c,--
358398,358400,4.14,a,--
358401,358403,4.14,b,--
358404,358407,4.14,c,--
358408,358410,4.14,d,--
358411,358414,4.14,e,--
358415,358416,4.15,a,--
358417,358419,4.15,b,--
358420,358423,4.15,c,--
358424,358425,4.16,a,--
358426,358428,4.16,b,--
358429,358430,4.16,c,--
358431,358432,4.16,d,--
358433,358436,4.16,e,--
358437,358440,4.16,f,--
