3.1,358016,358020,a,--,N
3.1,358021,358025,b,--,N
3.1,358026,358029,c,--,Hv
3.2,358030,358036,a,--,N
3.2,358037,358043,b,--,Pa
3.2,358044,358048,c,--,S.Sa
3.2,358049,358052,d,--,Hv
3.3,358053,358055,a,--,C.Ca
3.3,358056,358060,b,--,C.Ca
3.3,358061,358065,c,--,Hv.S.Sa
3.4,358066,358070,a,--,N
3.4,358071,358077,b,--,N
3.4,358078,358081,c,--,N
3.4,358082,358087,d,--,N
3.4,358088,358091,e,--,N
3.5,358092,358093,a,--,Ca
3.5,358094,358095,b,--,C.Ca.P.Pa
3.5,358096,358102,c,--,Ca.P.Pa
3.5,358103,358110,d,--,N
3.5,358111,358113,e,--,C.Ca
3.6,358114,358119,a,--,N
3.6,358120,358122,b,--,P.Pa
3.6,358123,358126,c,--,P.Pa
3.6,358127,358130,d,--,P.Pa
3.7,358131,358135,a,--,S.Sa
3.7,358136,358139,b,--,N
3.7,358140,358142,c,--,Hv.Pa
3.8,358143,358145,a,--,S.Sa.C.Ca
3.8,358146,358147,b,--,S.Sa.C.Ca.P.Pa
3.8,358148,358151,c,--,N
3.8,358152,358156,d,--,P
3.9,358157,358159,a,--,N
3.9,358160,358162,b,--,P
3.9,358163,358166,c,--,P.Pa
3.10,358167,358169,a,--,C.Ca
3.10,358170,358171,b,--,C.Ca
3.10,358172,358173,c,--,C.Ca
3.10,358174,358176,d,--,N
3.10,358177,358179,e,--,P.Pa
3.11,358180,358182,a,--,N
3.11,358183,358184,b,--,C.Ca.P.Pa
3.11,358185,358188,c,--,Ca.P
3.11,358189,358195,d,--,N
3.11,358196,358198,e,—,Sp
3.11,358199,358203,f,--,N
