358441,358445,5.1,a,—
358446,358449,5.1,b,--
358450,358453,5.1,c,--
358454,358457,5.1,d,--
358458,358459,5.1,e,--
358460,358463,5.1,f,--
358464,358468,5.2,a,--
358469,358471,5.2,b,--
358472,358475,5.2,c,--
358476,358477,5.2,d,--
358478,358481,5.2,e,--
358482,358484,5.2,f,--
358485,358487,5.3,a,--
358488,358489,5.3,b,--
358490,358492,5.3,c,--
358493,358494,5.3,d,--
358495,358500,5.4,a,--
358501,358504,5.4,b,--
358505,358510,5.5,a,--
358511,358514,5.5,b,--
358515,358518,5.5,c,--
358519,358522,5.5,d,--
358523,358526,5.6,a,--
358527,358530,5.6,b,--
358531,358534,5.6,c,--
358535,358538,5.6,d,--
358539,358542,5.6,e,--
358543,358545,5.7,a,--
358546,358550,5.7,b,--
358551,358552,5.7,c,--
358553,358557,5.7,d,--
358558,358560,5.7,e,--
358561,358562,5.8,a,--
358563,358564,5.8,b,--
358565,358568,5.8,c,--
358569,358571,5.8,d,--
358572,358575,5.8,e,--
358576,358579,5.9,a,--
358580,358584,5.9,b,--
358585,358588,5.9,c,--
358589,358591,5.9,d,--
358592,358595,5.10,a,--
358596,358598,5.10,b,--
358599,358601,5.11,a,--
358602,358603,5.11,b,--
358604,358607,5.11,c,--
358608,358610,5.12,a,--
358611,358613,5.12,b,--
358614,358617,5.12,c,--
358618,358620,5.12,d,--
358621,358625,5.13,a,--
358626,358627,5.13,b,--
358628,358629,5.13,c,--
358630,358632,5.13,d,--
358633,358635,5.14,a,--
358636,358639,5.14,b,--
358640,358642,5.14,c,--
358643,358644,5.14,d,--
358645,358647,5.15,a,--
358648,358651,5.15,b,--
358652,358655,5.15,c,--
358656,358659,5.15,d,--
358660,358661,5.16,a,--
358662,358664,5.16,b,--
358665,358669,5.16,c,--
358670,358671,5.16,d,--
