359038,359042,8.1,ab,11
359043,359045,8.1,ab,02
359046,359050,8.1,ab,11
359051,359054,8.1,ab,00
359055,359060,8.2,abc,02
359061,359065,8.2,abc,11
359066,359068,8.2,abc,00
359069,359071,8.3,ab,11
359072,359074,8.3,ab,00
359075,359076,8.4,abc,10
359077,359078,8.4,abc,02
359079,359089,8.4,abc,00
359090,359095,8.5,ab,11
359096,359098,8.5,ab,02
359099,359102,8.5,abc,11
359103,359105,8.5,abc,11
359106,359108,8.5,abc,00
359109,359114,8.6,ab,20
359115,359119,8.6,ab,11
359120,359125,8.6,abc,11
359126,359129,8.6,abc,02
359130,359133,8.6,abc,00
359134,359142,8.7,ab,11
359143,359146,8.7,ab,02
359147,359156,8.7,ab,11
359157,359159,8.7,ab,00
359160,359162,8.8,ab,11
359163,359166,8.8,ab,02
359167,359170,8.8,ab,11
359171,359176,8.8,ab,00
359177,359179,8.9,ab,11
359180,359183,8.9,ab,02
359184,359187,8.9,ab,11
359188,359191,8.9,ab,00
359192,359193,8.10,ab,11
359194,359198,8.10,ab,02
359199,359202,8.10,ab,10
359203,359205,8.10,ab,00
359206,359211,8.11,ab,11
359212,359218,8.11,ab,02
359219,359222,8.11,ab,10
359223,359224,8.11,ab,00
359225,359229,8.12,abc,02
359230,359233,8.12,abc,11
359234,359239,8.12,abc,00
359240,359244,8.13,abc,20
359245,359248,8.13,abc,10
359249,359249,8.13,abc,00
359250,359251,8.14,abc,20
359252,359261,8.14,abc,11
359262,359264,8.14,abc,00
