7.1,358844,358847,ab,11,N
7.1,358848,358852,ab,02,N
7.1,358853,358857,ab,11,N
7.1,358858,358861,ab,00,P.Pa
7.2,358862,358869,a,02,Hv.S.Sa
7.2,358870,358871,abc,11,P.Pa
7.2,358872,358873,abc,11,Pa
7.2,358874,358876,abc,00,Pa
7.3,358877,358880,ab,11,S.Sa.C.Ca
7.3,358881,358884,ab,02,S.Sa.C.Ca
7.3,358885,358887,ab,11,C.Ca
7.3,358888,358891,ab,00,C.Ca
7.4,358892,358896,ab,10,N
7.4,358897,358898,ab,00,Pa
7.5,358899,358903,abc,02,Hv.S.Sa.C.Ca
7.5,358904,358907,abc,20,N
7.5,358908,358910,abc,11,Pa
7.5,358911,358915,ab,11,C.Ca
7.5,358916,358918,ab,00,C.Ca
7.6,358919,358923,abc,11,S.Sa.C.Ca
7.6,358924,358929,abc,02,S.Sa.C.Ca
7.6,358930,358934,abc,00,Hv.S.Sa.C.Ca
7.7,358935,358939,ab,11,N
7.7,358940,358943,ab,00,N
7.8,358944,358948,ab,11,C.Ca
7.8,358949,358952,ab,00,C.Ca
7.9,358953,358956,ab,11,N
7.9,358957,358959,ab,02,S.Sa.C.Ca
7.9,358960,358967,ab,11,C.Ca
7.9,358968,358973,ab,00,C.Ca
7.10,358974,358984,ab,02,Hv
7.10,358985,358987,ab,00,Hv.C.Ca
7.11,358988,358990,ab,11,S.Sa.C.Ca
7.11,358991,358993,ab,00,S.Sa.C.Ca
7.12,358994,358998,ab,11,N
7.12,358999,359002,ab,00,S.Sa.C.Ca
7.13,359003,359006,abc,11,S.Sa.C.Ca
7.13,359007,359014,abc,11,N
7.13,359015,359017,abc,02,C.Ca
7.13,359018,359022,a,00,Hv.S.Sa.C.Ca
7.14,359023,359026,abc,20,S.Sa.C.Ca
7.14,359027,359031,abc,11,N
7.14,359032,359034,abc,02,Pa
7.14,359035,359037,a,00,Hv.S.Sa
