7.1,358844,358847,a,--,N
7.1,358848,358852,b,--,N
7.1,358853,358857,c,--,N
7.1,358858,358861,d,--,P.Pa
7.2,358862,358867,a,--,C.Ca
7.2,358868,358869,b,--,C.Ca.P.Pa
7.2,358870,358873,c,--,N
7.2,358874,358876,d,--,Pa
7.3,358877,358880,a,--,S.Sa.C.Ca
7.3,358881,358884,b,--,S.Sa.C.Ca
7.3,358885,358887,c,--,C.Ca
7.3,358888,358891,d,--,C.Ca
7.4,358892,358896,a,--,N
7.4,358897,358898,b,--,Pa
7.5,358899,358903,a,--,Hv.S.Sa.C.Ca
7.5,358904,358907,b,--,N
7.5,358908,358910,c,--,Pa
7.5,358911,358915,d,--,C.Ca
7.5,358916,358918,e,--,C.Ca
7.6,358919,358923,a,--,S.Sa.C.Ca
7.6,358924,358929,b,--,S.Sa.C.Ca
7.6,358930,358934,c,--,Hv.S.Sa.C.Ca
7.7,358935,358939,a,--,N
7.7,358940,358943,b,--,N
7.8,358944,358948,a,--,C.Ca
7.8,358949,358952,b,--,C.Ca
7.9,358953,358956,a,--,N
7.9,358957,358959,b,--,S.Sa.C.Ca
7.9,358960,358967,c,--,C.Ca
7.9,358968,358973,d,--,C.Ca
7.10,358974,358979,a,--,C.Ca
7.10,358980,358984,b,--,C.Ca
7.10,358985,358987,c,--,Hv.C.Ca
7.11,358988,358993,a,--,V.Hv
7.12,358994,358998,a,--,N
7.12,358999,359002,b,--,S.Sa.C.Ca
7.13,359003,359006,a,--,S.Sa.C.Ca
7.13,359007,359011,b,--,N
7.13,359012,359014,c,--,C.Ca
7.13,359015,359017,d,--,C.Ca
7.13,359018,359022,e,--,Hv.S.Sa.C.Ca
7.14,359023,359026,a,--,S.Sa.C.Ca
7.14,359027,359031,b,--,N
7.14,359032,359034,c,--,Pa
7.14,359035,359037,d,--,Hv.S.Sa
