1.2,357589,357592,a,--,S.Sa.C.Ca
1.2,357593,357597,b,--,S.Sa.C.Ca
1.3,357598,357601,a,--,S.Sa.C.Ca
1.3,357602,357604,b,--,S.Sa
1.3,357605,357608,c,--,Hv.S.Sa.C.Ca
1.4,357609,357611,a,--,Hv
1.4,357612,357615,b,--,S.Sa.C.Ca
1.4,357616,357619,c,--,N
1.4,357620,357623,d,--,S.Sa.C.Ca
1.4,357624,357625,e,--,S.Sa.C.Ca
1.5,357626,357629,a,--,N
1.5,357630,357631,b,--,C.Ca.P.Pa
1.5,357632,357634,c,--,Pa
1.5,357635,357637,d,--,Pa
1.6,357638,357642,a,--,N
1.6,357643,357646,b,--,C.Ca
1.6,357647,357650,c,--,S.Sa.C.Ca
1.6,357651,357655,d,--,S.Sa
1.6,357656,357660,e,--,S.Sa
1.7,357661,357665,a,--,N
1.7,357666,357667,b,--,C.Ca
1.7,357668,357672,c,--,C.Ca
1.7,357673,357677,d,--,N
1.7,357678,357680,e,--,P.Pa
1.8,357681,357684,a,--,C.Ca
1.8,357685,357689,b,--,C.Ca
1.8,357690,357695,c,--,S.Sa.C.Ca
1.8,357696,357699,d,--,N
1.8,357700,357703,e,--,P.Pa
1.9,357704,357708,a,--,P
1.9,357709,357710,b,--,N
1.10,357711,357715,a,--,C.Ca
1.10,357716,357719,b,--,C.Ca
1.11,357720,357723,a,--,N
1.11,357724,357727,b,--,P.Pa
1.12,357728,357733,a,--,C.Ca
1.12,357734,357736,b,--,C.Ca
1.13,357737,357741,a,--,C.Ca
1.13,357742,357744,b,--,C.Ca
1.14,357745,357749,a,--,N
1.14,357750,357752,b,--,P.Pa
1.15,357753,357755,a,--,S.Sa
1.15,357756,357757,b,--,S.Sa.C.Ca
1.15,357758,357759,c,--,S.Sa.C.Ca
1.16,357760,357762,a,--,S.Sa
1.16,357763,357764,b,--,S.Sa.C.Ca
1.16,357765,357767,c,--,S.Sa.C.Ca
1.17,357768,357770,a,--,S.Sa.C.Ca
1.17,357771,357772,b,--,S.Sa.C.Ca
2.1,357773,357776,a,--,C.Ca
2.1,357777,357779,b,--,C.Ca.P.Pa
2.2,357780,357784,a,--,C.Ca.P
2.2,357785,357789,b,--,C.Ca
2.3,357790,357795,a,--,S.Sa.C.Ca
2.3,357796,357800,b,--,S.Sa.C.Ca
2.3,357801,357805,c,--,N
2.3,357806,357810,d,--,S.Sa.C.Ca
2.4,357811,357815,a,--,S.Sa.C.Ca
2.4,357816,357819,b,--,S.Sa.C.Ca
2.5,357820,357823,a,--,S.Sa.C.Ca
2.5,357824,357827,b,--,S.Sa.C.Ca
2.5,357828,357831,c,--,Hv.S.Sa.C.Ca
2.6,357832,357835,a,--,S.Sa.C.Ca
2.6,357836,357838,b,--,S.Sa.C.Ca
2.7,357839,357840,a,--,Ca
2.7,357841,357842,b,--,C.Ca.P.Pa
2.7,357843,357849,c,--,Ca.P.Pa
2.7,357850,357857,d,--,N
2.7,357858,357860,e,--,C.Ca
2.8,357861,357862,a,--,S.Sa.C.Ca.P.Pa
2.8,357863,357865,b,--,C.Ca
2.8,357866,357869,c,--,C.Ca
2.8,357870,357873,d,--,C.Ca
2.9,357874,357877,a,--,N
2.9,357878,357882,b,--,N
2.9,357883,357885,c,--,N
2.9,357886,357887,d,--,P.Pa
2.9,357888,357891,e,--,C.Ca
2.9,357892,357895,f,--,C.Ca
2.10,357896,357900,a,--,Hv
2.10,357901,357902,b,--,C.Ca
2.10,357903,357904,c,--,C.Ca.P
2.10,357905,357907,d,--,S.Sa.C.Ca
2.11,357908,357912,a,--,Hv.S.Sa.C.Ca
2.11,357913,357917,b,--,Hv
2.12,357918,357923,a,--,S.Sa.C.Ca
2.12,357924,357927,b,--,S.Sa.C.Ca
2.12,357928,357934,c,--,Hv.S.Sa.C.Ca
